song_name,artist,song_lyrics,song_composition,song_lang
 Soneto do Amigo  ,  Vinicius de Moraes ,"  Enfim, depois de tanto erro passado Tantas retaliações, tanto perigo Eis que ressurge noutro o velho amigo Nunca perdido, sempre reencontrado É bom sentá-lo novamente ao lado Com olhos que contêm o olhar antigo Sempre comigo um pouco atribulado E como sempre singular comigo Um bicho igual a mim, simples e humano Sabendo se mover e comover E a disfarçar com o meu próprio engano O amigo: Um ser que a vida não explica Que só se vai ao ver outro nascer E o espelho de minha alma multiplica  ", Vinícius de Moraes. ,pt
 Eu Não Existo Sem Você  ,  Vinicius de Moraes ,"  Eu sei e você sabe, já que a vida quis assim Que nada nesse mundo levará você de mim Eu sei e você sabe que a distância não existe Que todo grande amor só é bem grande se for triste Por isso, meu amor, não tenha medo de sofrer Pois todos os caminhos me encaminham prá você Assim como o oceano só é belo com o luar Assim como a canção só tem razão se se cantar Assim como uma nuvem só acontece se chover Assim como o poeta só é grande se sofrer Assim como viver sem ter amor não é viver Não há você sem mim, eu não existo sem você  ", Tom Jobim / Vinícius de Moraes. ,pt
 Canto de Ossanha  ,  Vinicius de Moraes ,"  O homem que diz: Dou Não dá! Porque quem dá mesmo Não diz! O homem que diz: Vou Não vai! Porque quando foi Já não quis! O homem que diz sou Não é! Porque quem é mesmo é Não sou! O homem que diz: Tô Não tá! Porque ninguém tá Quando quer Coitado do homem que cai No canto de Ossanha, traidor! Coitado do homem que vai Atrás de mandinga de amor Vai! Vai! Vai! Vai! Não Vou! Vai! Vai! Vai! Vai! Não Vou! Vai! Vai! Vai! Vai! Não Vou! Vai! Vai! Vai! Vai! Não Vou! Que eu não sou ninguém de ir Em conversa de esquecer A tristeza de um amor Que passou Não! Eu só vou se for pra ver Uma estrela aparecer Na manhã de um novo amor Amigo sinhô, Saravá Xangô me mandou lhe dizer Se é canto de Ossanha Não vá! Que muito vai se arrepender Pergunte pro seu Orixá O amor só é bom se doer Pergunte pro seu Orixá O amor só é bom se doer Vai! Vai! Vai! Vai! Amar! Vai! Vai! Vai! Vai! Sofrer! Vai! Vai! Vai! Vai! Chorar! Vai! Vai! Vai! Vai! Dizer! Eu não sou ninguém de ir Em conversa de esquecer A tristeza de um amor Que passou Não! Eu só vou se for pra ver Uma estrela aparecer Na manhã de um novo amor Vai! Vai! Vai! Vai! Amar! Vai! Vai! Vai! Vai! Sofrer! Vai! Vai! Vai! Vai! Chorar! Vai! Vai! Vai! Vai! Dizer! Eu não sou ninguém de ir Em conversa de esquecer A tristeza de um amor Que passou Não! Eu só vou se for pra ver Uma estrela aparecer Na manhã de um novo amor Vai! Vai! Vai! Vai! Amar! Vai! Vai! Vai! Vai! Sofrer! Vai! Vai! Vai! Vai! Chorar! Vai! Vai! Vai! Vai! Dizer! Vai! Vai! Vai! Vai! Amar! Vai! Vai! Vai! Vai! Sofrer! Vai! Vai! Vai! Vai! Chorar! Vai! Vai! Vai! Vai! Dizer!  ", Baden Powell / Vinícius de Moraes. ,pt
 Como Dizia o Poeta  ,  Vinicius de Moraes ,"  Quem já passou Por esta vida e não viveu Pode ser mais, mas sabe menos do que eu Porque a vida só se dá Pra quem se deu Pra quem amou, pra quem chorou Pra quem sofreu, ai Quem nunca curtiu uma paixão Nunca vai ter nada, não Não há mal pior Do que a descrença Mesmo o amor que não compensa É melhor que a solidão Abre os teus braços, meu irmão, deixa cair Pra que somar se a gente pode dividir? Eu francamente já não quero nem saber De quem não vai porque tem medo de sofrer Ai de quem não rasga o coração Esse não vai ter perdão  ", Toquinho / Vinícius de Moraes. ,pt
 Berimbau  ,  Vinicius de Moraes ,"  Quem é homem de bem Não trai! O amor que lhe quer Seu bem! Quem diz muito que vai Não vai! Assim como não vai Não vem! Quem de dentro de si Não sai! Vai morrer sem amar Ninguém! O dinheiro de quem Não dá! É o trabalho de quem Não tem! Capoeira que é bom Não cai! E se um dia ele cai Cai bem! Capoeira me mandou Dizer que já chegou Chegou para lutar Berimbau me confirmou Vai ter briga de amor Tristeza camará Se não tivesse o amor (se não tivesse o amor) Se não tivesse essa dor (se não tivesse essa dor) E se não tivesse o sofrer (e se não tivesse o sofrer) E se não tivesse o chorar (e se não tivesse o chorar) Melhor era tudo se acabar (melhor era tudo se acabar) Eu amei, amei demais O que eu sofri por causa de amor ninguém sofreu Eu chorei, perdi a paz Mas o que eu sei é que ninguém nunca teve mais Mais do que eu Capoeira me mandou Dizer que já chegou Chegou para lutar Berimbau me confirmou Vai ter briga de amor Tristeza camará  ", Baden Powell / Vinícius de Moraes. ,pt
 O Girassol  ,  Vinicius de Moraes ,"  Sempre que o sol  Pinta de anil  Todo o céu  O girassol  Fica um gentil  Carrossel  Roda, roda, roda  Carrossel  Roda, roda, roda  Rodador  Vai rodando, dando mel  Vai rodando, dando flor Sempre que o sol  Pinta de anil  Todo o céu  O girassol Fica um gentil Carrossel Roda, roda, roda Carrossel Gira, gira, gira Girassol Redondinho como o céu Marelinho como o sol  ", Toquinho / Vinícius de Moraes. ,pt
 Garota de Ipanema  ,  Vinicius de Moraes ,"  Olha que coisa mais linda, mais cheia de graça É ela, menina, que vem e que passa Num doce balanço, caminho do mar Moça do corpo dourado, do sol de Ipanema O seu balançado é mais que um poema É a coisa mais linda que eu já vi passar Ah, por que estou tão sozinho? Ah, por que tudo é tão triste? Ah, a beleza que existe A beleza que não é só minha Que também passa sozinha Ah, se ela soubesse que quando ela passa O mundo inteirinho se enche de graça E fica mais lindo por causa do amor por causa do amor  ", Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 A Porta  ,  Vinicius de Moraes ,"  Eu sou feita de madeira Madeira, matéria morta Mas não há coisa no mundo Mais viva do que uma porta. Eu abro devagarinho Pra passar o menininho Eu abro bem com cuidado Pra passar o namorado Eu abro bem prazenteira Pra passar a cozinheira Eu abro de supetão Pra passar o capitão. Só não abro pra essa gente Que diz (a mim bem me importa...) Que se uma pessoa é burra É burra como uma porta. Eu sou muito inteligente! Eu fecho a frente da casa Fecho a frente do quartel Fecho tudo nesse mundo Só vivo aberta no céu!  ", Toquinho / Vinícius de Moraes. ,pt
 Rosa de Hiroshima  ,  Vinicius de Moraes ,"  Pensem nas crianças Mudas telepáticas Pensem nas meninas Cegas inexatas Pensem nas mulheres Rotas alteradas Pensem nas feridas Como rosas cálidas Mas, oh, não se esqueçam Da rosa da rosa Da rosa de Hiroshima A rosa hereditária A rosa radioativa Estúpida e inválida A rosa com cirrose A anti-rosa atômica Sem cor sem perfume Sem rosa, sem nada  ", Gerson Conrad / Vinícius de Moraes. ,pt
 Samba Em Prelúdio  ,  Vinicius de Moraes ,"  Eu sem você não tenho por quê Porque sem você não sei nem chorar Sou chama sem luz Jardim sem luar Luar sem amor Amor sem se dar E eu sem você Sou só desamor Um barco sem mar Um campo sem flor Tristeza que vai Tristeza que vem Sem você, meu amor, eu não sou ninguém Ah, que saudade Que vontade de ver renascer nossa vida Volta, querido Os meus braços precisam dos teus Teus abraços precisam dos meus Estou tão sozinha Tenho os olhos cansados de olhar Para o além Vem ver a vida Sem você, meu amor, eu não sou ninguém  ", Baden Powell / Vinícius de Moraes. ,pt
 Tristeza  ,  Vinicius de Moraes ,"  Tristeza Por favor vai embora A minha alma que chora Está vendo o meu fim Fez do meu coração A sua moradia Já é demais o meu penar Quero voltar aquela Vida de alegria Quero de novo cantar la ra rara, la ra rara la ra rara, rara Quero de novo cantar  ", Niltinho Tristeza / Haroldo Lobo. ,pt
 Soneto de Separação  ,  Vinicius de Moraes ,"  De repente do riso fez-se o pranto Silencioso e branco como a bruma E das bocas unidas fez-se a espuma E das mãos espalmadas fez-se o espanto De repente da calma fez-se o vento Que dos olhos desfez a última chama E da paixão fez-se o pressentimento E do momento imóvel fez-se o drama De repente não mais que de repente Fez-se de triste o que se fez amante E de sozinho o que se fez contente Fez-se do amigo próximo, distante Fez-se da vida uma aventura errante De repente, não mais que de repente  ", Cust / Vinícius de Moraes. ,pt
 Ausência  ,  Vinicius de Moraes ,"  Eu deixarei que morra em mim O desejo de amar os teus olhos que são doces Porque nada te poderei dar Senão a mágoa de me veres eternamente exausto No entanto a tua presença É qualquer coisa como a luz e a vida E eu sinto que em meu gesto Existe o teu gesto e em minha voz a tua voz Não te quero ter porque em meu ser tudo estaria terminado Quero só que surjas em mim Como a fé nos desesperados Para que eu possa levar Uma gota de orvalho Nesta terra amaldiçoada Que ficou sobre a minha carne Como nódoa do passado Eu deixarei Tu irás e encostarás a tua face em outra face Teus dedos enlaçarão outros dedos E tu desabrocharás para a madrugada Mas tu não saberás que quem te colheu fui eu Porque eu fui o grande íntimo da noite Porque eu encostei minha face na face da noite E ouvi a tua fala amorosa Porque meus dedos enlaçaram os dedos da névoa Suspensos no espaço E eu trouxe até mim a misteriosa essência do teu abandono desordenado Eu ficarei só Como os veleiros nos portos silenciosos Mas eu te possuirei como ninguém Porque poderei partir E todas as lamentações do mar Do vento, do céu, das aves, das estrelas Serão a tua voz presente A tua voz ausente A tua voz serenizada  ", Vinícius de Moraes. ,pt
 Regra Três  ,  Vinicius de Moraes ,"  Tantas você fez que ela cansou  Porque você, rapaz Abusou da regra três  Onde menos vale mais Da primeira vez ela chorou  Mas resolveu ficar É que os momentos felizes  Tinham deixado raízes no seu penar Depois perdeu a esperança  Porque o perdão também cansa de perdoar Tem sempre o dia em que a casa cai Pois vai curtir seu deserto, vai.  Mas deixe a lâmpada acesa  Se algum dia a tristeza quiser entrar E uma bebida por perto  Porque você pode estar certo que vai chorar  ", Antonio Pecci Filho Toquinho / Vinícius de Moraes. ,pt
 A Foca  ,  Vinicius de Moraes ,  Quer ver a foca Ficar feliz? É pôr uma bola No seu nariz Quer ver a foca Bater palminha? É dar a ela Uma sardinha Quer ver a foca Comprar uma briga? É espetar ela Bem na barriga Lá vai a foca Toda arrumada Dançar no circo Pra garotada Lá vai a foca Subindo a escada Depois descendo Desengonçada Quanto trabalha A coitadinha Pra garantir Sua sardinha  , Toquinho / Vinícius de Moraes. ,pt
 Minha Namorada  ,  Vinicius de Moraes ,"  Se você quer ser minha namorada Ah, que linda namorada Você poderia ser Se quiser ser somente minha Exatamente essa coisinha Essa coisa toda minha Que ninguém mais pode ser Você tem que me fazer um juramento De só ter um pensamento Ser só minha até morrer E também de não perder esse jeitinho De falar devagarinho Essas histórias de você E de repente me fazer muito carinho E chorar bem de mansinho Sem ninguém saber por quê Porém, se mais do que minha namorada Você quer ser minha amada Minha amada, mas amada pra valer Aquela amada pelo amor predestinada Sem a qual a vida é nada Sem a qual se quer morrer Você tem que vir comigo em meu caminho E talvez o meu caminho seja triste pra você Os seus olhos têm que ser só dos meus olhos Os seus braços o meu ninho No silêncio de depois E você tem que ser a estrela derradeira Minha amiga e companheira No infinito de nós dois  ", Carlos Lyra / Vinícius de Moraes. ,pt
 Aquarela  ,  Vinicius de Moraes ,"  Numa folha qualquer eu desenho um sol amarelo E com cinco ou seis retas é fácil fazer um castelo Corro o lápis em torno da mão e me dou uma luva E se faço chover, com dois riscos tenho um guarda-chuva Se um pinguinho de tinta cai num pedacinho azul do papel Num instante imagino uma linda gaivota a voar no céu Vai voando, contornando a imensa curva norte-sul Vou com ela viajando Havaí, Pequim ou Istambul Pinto um barco a vela branco navegando É tanto céu e mar num beijo azul Entre as nuvens vem surgindo um lindo avião rosa e grená Tudo em volta colorindo, com suas luzes a piscar Basta imaginar e ele está partindo, sereno e lindo E se a gente quiser ele vai pousar Numa folha qualquer eu desenho um navio de partida Com alguns bons amigos bebendo de bem com a vida De uma América a outra consigo passar num segundo Giro um simples compasso e num círculo eu faço o mundo Um menino caminha e caminhando chega no muro E ali logo em frente a esperar pela gente o futuro está E o futuro é uma astronave que tentamos pilotar Não tem tempo nem piedade nem tem hora de chegar Sem pedir licença muda nossa vida Depois convida a rir ou chorar Nessa estrada não nos cabe conhecer ou ver o que virá O fim dela ninguém sabe bem ao certo onde vai dar Vamos todos numa linda passarela De uma aquarela que um dia enfim Descolorirá Numa folha qualquer eu desenho um sol amarelo Que descolorirá E com cinco ou seis retas é fácil fazer um castelo Que descolorirá Giro um simples compasso e num círculo eu faço o mundo Que descolorirá  ", Toquinho / Vinícius de Moraes. ,pt
 Aula de Piano  ,  Vinicius de Moraes ,"  Depois do almoço na sala vazia  A mãe subia pra se recostar  E no passado que a sala escondia  A menininha ficava a esperar  O professor de piano chegava  E começava uma nova lição  E a menininha, tão bonitinha  Enchia a casa feito um clarim  Abria o peito, mandava brasa  E solfejava assim: Ai, ai, ai Lá, sol, fá, mi, ré Tira a não daí Dó, dó, ré, dó, si Aqui não dá pé Mi, mi, fá, mi, ré E agora o sol, fá Pra lição acabar Diz o refrão quem não chora não mama Veio o sucesso e a consagração Que finalmente deitaram na fama Tendo atingido a total perfeição Nunca se viu tanta variedade A quatro mãos em concertos de amor Mas na verdade tinham saudade De quando ele era seu professor E quando ela, menina e bela Abria o berrador Ai, ai, ai, Lá, sol, fá, mi, ré  ", Toquinho / Vinícius de Moraes. ,pt
 Chega de Saudade  ,  Vinicius de Moraes ,"  Vai minha tristeza E diz a ela que sem ela não pode ser Diz-lhe numa prece Que ela regresse Porque eu não posso mais sofrer Chega de saudade A realidade é que sem ela Não há paz não há beleza É só tristeza e a melancolia Que não sai de mim Não sai de mim Não sai Mas se ela voltar Se ela voltar que coisa linda Que coisa louca Pois há menos peixinhos a nadar no mar Do que os beijinhos Que eu darei na sua boca Dentro dos meus braços, os abraços Hão de ser milhões de abraços Apertado assim, colado assim, calado assim Abraços e beijinhos e carinhos sem ter fim Que é pra acabar com esse negócio De você viver sem mim Não quero mais esse negócio De você longe de mim Vamos deixar esse negócio De você viver sem mim  ", Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 O Caderno  ,  Vinicius de Moraes ,"  Sou eu que vou seguir você Do primeiro rabisco até o be-a-ba Em todos os desenhos coloridos vou estar A casa, a montanha, duas nuvens no céu E um sol a sorrir no papel Sou eu que vou ser seu colega, Seus problemas ajudar a resolver te acompanhar nas provas bimestrais você vai vê Serei de você confidente fiel, Se seu pranto molhar meu papel Sou eu que vou ser seu amigo, Vou lhe dar abrigo, se você quiser Quando surgirem seus primeiros raios de mulher A vida se abrirá num feroz carrossel E você vai rasgar meu papel O que está escrito em mim Comigo ficará guardado, se lhe dá prazer A vida segue sempre em frente, o que se há de fazer Só peço a você um favor, se puder: Não me esqueça num canto qualquer  ", Toquinho / Vinicios. ,pt
 A Felicidade  ,  Vinicius de Moraes ,  Tristeza não tem fim Felicidade sim A felicidade é como a pluma Que o vento vai levando pelo ar Voa tão leve Mas tem a vida breve Precisa que haja vento sem parar A felicidade do pobre parece A grande ilusão do carnaval A gente trabalha o ano inteiro Por um momento de sonho Pra fazer a fantasia De rei ou de pirata ou jardineira Pra tudo se acabar na quarta-feira Tristeza não tem fim Felicidade sim A felicidade é como a gota De orvalho numa pétala de flor Brilha tranquila Depois de leve oscila E cai como uma lágrima de amor A felicidade é uma coisa loca Mais tão delicada também Tem flores e amores De todas as cores Tem ninhos de passarinhos Tudo de bom ela tem E é por ela ser assim tão delicada Que eu trato sempre dela muito bem Tristeza não tem fim Felicidade sim  , André Salvet / Antonio Carlos Jobim / Vinícius de Moraes. ,pt
